Load type,g_Gsup,g_Q1,g_Qi
Accidental load,-,-,-
Aerodynamic effects,-,"1,3","1,3"
CF(HSLM),-,"1,25","1,25"
CF(LM71)H,-,"1,25","1,25"
CF(LM71)V,-,"1,25","1,25"
CF(SW/0),-,"1,25","1,25"
CF(SW/2),-,"1,25","1,25"
CF(UT),-,"1,25","1,25"
Construction loads,-,"1,3","1,3"
Dead load,1,-,-
Footpaths load,-,"1,15","1,15"
Hor. Earth pressure,-,"1,3","1,3"
HSLM,-,"1,25","1,25"
LM 71,-,"1,25","1,25"
Nosing forces,-,"1,3","1,3"
Real trains,-,"1,25","1,25"
Settlement,1,-,-
Snow loads,-,"1,3","1,3"
SW/0,-,"1,25","1,25"
SW2,-,"1,25","1,25"
T&B(HSLM),-,"1,25","1,25"
T&B(LM71)A,-,"1,25","1,25"
T&B(LM71)B,-,"1,25","1,25"
T&B(SW/0),-,"1,25","1,25"
T&B(SW/2),-,"1,25","1,25"
T&B(UT),-,"1,25","1,25"
Thermal actions,-,"1,3","1,3"
Unloaded train,-,"1,25","1,25"
Wind forces Fw**,-,"1,3","1,3"
Wind forces Fwk,-,"1,3","1,3"
